a.  un; una .  
bear.  oso; sufrir; aguantar; soportar; guardar; tener; dirigirse; llevar; apuntar; daraluz; corrercon; tobear .  
left.  torceralaizquierdabearaway/ .  
off.  llevarsebeardownupon/ .  
on.  avanzarhaciabear .  
off.  llevarsebear .  
on.  apuntar; versar; interesarbear .  
out.  confirmar; corroborarbear .  
up.  mantenerfirme; resistirbear .  
with.  serindulgente; tenerpaciencia .  
bearable.  soportable .  
bear-berry.  plantarastreradelafamiliadelbrezo .  
beard.  barba; desafiar .  
bearded.  aristado .  
bearer.  portador; titular .  
bearing.  porte; conducci n; cojinete; conexi n; relaci n; rumbo; orientaci n; blas n; togetone's .  
bearings.  orientarse .  
bearish.  pesimista; rudo; brusco .  
beast.  animal; bestia .  
beastly.  atroz .  
beat.  golpe; latido; ritmo; redoble; ronda; recorrido; agotado; molido; ganar; batir; golpear; pegar; latir; beat .  
it!.  l rgate; ganarbeat .  
off.  repeler; rechazarbeat .  
up.  viejo; destartalado; ruinoso; darunapalizaa .  
beaten.  martillado; batido; participiopasadodebeat .  
beating.  paliza; derrota; latido; redoble .  
beat-up.  viejo; destartalado; ruinoso .  
beau.  gal n; pretendiente; novio .  
beaut.  deprimera; it'sa .  
beaut.  deprimera .  
beauteous.  bello .  
beautician.  esteticista .  
beautiful.  hermoso; guapo; precioso; espl ndido .  
beautify.  embellecer .  
beauty.  belleza; hermosura .  
beaver.  castor; sombrerodecopabeaver .  
away.  trabajarconcienzudamente .  
becalm.  encalmar .  
became.  pasadodebecome .  
because.  porque; puestoque; because .  
of.  acausade; debidoa .  
bechamel.  bechamel .  
beck.  arroyo; riachuelo; tobeatthebeckandcall .  
of.  estaradisposici nde; estarsometidoalavoluntadde .  
beckon.  llamar; hacerse as .  
become.  hacerse; convertirse; ponerse; volverse; favorecer .  
becoming.  favorecedor; decoroso; apropiado .  
bed.  cama; macizo; fondo; lecho; acostarseconbed .  
down.  acostarse .  
bedazzle.  deslumbrar .  
bedbug.  chinche .  
bedclothes.  ropadecama .  
bedding.  ropadecama .  
 .  
bedeck.  adornar; engalanar; ataviar .  
bedevil.  fastidiar; acosar; importunar .  
bedew.  rociar; regar .  
bedim.  oscurecer; ofuscar .  
bedizen.  emperifollar .  
bedjacket.  ma anita; chaquetaligeraquesellevacuandoseest sentadoenlacama .  
bedlam.  manicomio; algarab a; jaleo; alboroto; confusi n .  
bedlinen.  ropadecama .  
bedpan.  cu a .  
bedraggled.  ensuciado; mojado; mojadoysucio .  
bedridden.  postradoencama .  
bedrock.  fundamental; lechoderoca .  
bedroom.  dormitorio; rec mara .  
bedside.  ladodelacama; lecho; tohaveagoodbedside .  
manner.  tenermuchotactoconlosenfermosbed-sit, .  
bed-sitter.  habitaci nalquiladaconcama .  
bedsore.   lcerapordec bito .  
bedspread.  cobertor; colcha .  
bedstead.  armaz ndecama .  
bedtime.  horadedormir .  
bee.  abeja .  
bee-eater.  abejaruco .  
beech.  haya .  
beechdrops.  plantapar sitadelasra cesdelashayas .  
beef.  carnedevaca; quejarse; reforzarbeef .  
up.  reforzar; fortalecer .  
beefburger.  hamburguesa .  
beefeater.  alabarderodelatorredelondres .  
beefsteak.  bistec .  
beefy.  fornido; corpulento .  
beehive.  colmena .  
beekeeper.  apicultor .  
beekeeping.  apicultura .  
beeline.  l nearecta .  
been.  participiopasadodebe .  
beer.  cerveza .  
beery.  quehueleacerveza .  
beeswax.  ceradeabeja .  
beet.  remolacha .  
beetle.  escarabajo; sobresalir; marcharse; salir .  
beetroot.  remolacha .  
befall.  acontecer .  
befallen.  participiopasadodebefall .  
befell.  pasadodebefall .  
befit.  convenir; sentarbien; serpropio; corresponder .  
beflagged.  adornadoconbanderas .  
before.  antes; delantede; frentea .  
beforehand.  deantemano; conantelaci n; antes .  
befoul.  ensuciar .  
befriend.  proteger; haceroentablaramistadcon .  
befuddle.  confundir .  
 .  
befuddled.  aturdido; confundido; atontado .  
beg.  mendigar; pedir; suplicar; implorar; levantarlaspatasdelanterasbeg .  
off.  pedirdispensa; escabullirse .  
began.  pasadodebegin .  
begat.  pasadodebeget .  
beget.  engendrar .  
beggar.  mendigo; pordiosero; empobrecer; arruinar; exceder; superar .  
begin.  empezar; comenzar; tobegin .  
with.  paraempezar .  
beginner.  principiante .  
beginning.  comienzo; principio .  
beglamour.  encantar; hechizar .  
begone.   fueradeaqu ! .  
begonia.  begonia .  
begot.  pasadodebeget .  
begrudge.  rencor; dardemalagana; tenerenvidia; escatimar .  
beguile.  engatusar; seducir; entretener; enga ar; embaucar .  
beguiling.  seductor; enga oso .  
begun.  participiopasadodebegin .  
behalf.  defensa; parte; beneficio; on .  
behalf.  afavorde; ennombredebehalf .  
of.  departe .  
behave.  comportarse; portarsebien; actuar; funcionarbehavior, .  
behaviour.  conducta; comportamiento; funcionamiento .  
behead.  decapitar; descabezar .  
beheld.  pasadoypret ritoperfectodebehold .  
behemoth.  bestiagrande .  
behest.  atbehest .  
of.  porordende .  
behind.  detr s; detr sde; atrasado; retrasado; trasero .  
behold.  ver; atenci n; mirar; contemplar .  
beholden.  obligado; deudor; tobebeholden .  
to.  estaragradecido .  
beholder.  observador; espectadorbehoove, .  
behove.  incumbir; importar; sernecesario .  
beige.  beige .  
being.  ser; existencia .  
belabour.  apalear; criticar .  
belated.  atrasado; conretraso; tard o .  
belay.  amarrardandovueltasenunacabilla .  
belch.  eructo; vomitar; eructar; arrojar; brotar .  
beldam.  vieja; bruja; arp a .  
beleaguered.  sitiado; asediado; cercado; atosigado .  
belfry.  campanario; tohavebatsinthe .  
belfry.  estarchiflado .  
belgian.  belga .  
belgium.  b lgica .  
belie.  desmentir; contradecir; defraudar .  
belief.  creencia; opini n .  
believable.  cre ble; veros mil .  
believe.  creerbelieve .  
in.  creeren; serpartidariode .  
believer.  creyente; partidario .  
belike.  probablemente; quiz s .  
belittle.  empeque ecer; rebajar; hablarcondesprecio; menospreciar; despreciar .  
bell.  campana; campanilla; timbre; bell .  
glass.  campanadevidrio; bell .  
tower.  campanario .  
 .  
bellbottomed.  acampanado .  
bellboy.  botones; pajebelleofthe .  
ball.  reinadelbaile .  
bellflower.  camp nula .  
bellhop.  botones .  
belligerent.  beligerante; belicoso; agresivo .  
bellow.  bramido; mugido; rugido; rugir; mugir; bramar .  
bellows.  fuelle .  
bellwether.  carnerouovejaquegu aelganadoconuncencerroalcuello .  
belly.  vientre; barriga; panza; quejarsebelly .  
up.  quebrar .  
bellyache.  dolordevientre; gru ir .  
bellyaching.  quejasconstantes .  
bellyful.  panzada; tohavea .  
bellyful.  estarhartode .  
belong.  pertenecerbelong .  
to.  pertenecer .  
belongings.  pertenencias .  
beloved.  querido; amado .  
below.  abajo; bajo; debajode; inferiora .  
belt.  cintur n; cinta; correa; franja; zona; zurrar; arrear; iratodapastilla; ce ir; rodearbelt .  
out.  cantarmuyfuertebelt .  
up.  cerrarelpico .  
beltway.  carreteradecircunvalaci n .  
beluga.  delf nblanco .  
bemire.  arrastrarporelfango; enlodar; manchar .  
bemoan.  lamentar .  
bemuse.  aturdir; atontar; confundir .  
bemused.  at nito; perplejo; confuso .  
bench.  banco; mesadetrabajo; esca o; tribunal .  
benchmark.  cota; puntogeogr fico; dereferencia .  
bend.  curva; comba; recodo; meandro; codo;  ngulo; doblar; agacharse; inclinarse; togoroundthe .  
bend.  volverselocobend .  
down.  bajarse; doblarse; agacharsebend .  
over.  doblar; inclinarse; tobendover .  
backwards.  hacerloimposiblepor .  
bender.  juerga; borrachera; togoona .  
bender.  irdejuerga; irdeborrachera .  
beneath.  debajo; bajo; indignode .  
benedict.  benedictino .  
benefactor.  benefactor .  
benefactress.  benefactora .  
benefice.  feudo; beneficioeclesialsobretodoporcuradealmas; iglesiaconingresos .  
beneficent.  generoso .  
beneficial.  beneficioso .  
beneficiary.  beneficiario; beneficiado .  
benefit.  beneficio; ventaja; subsidio; prestaci n; disfrute; aprovechar; beneficiar; beneficiarse; sacarprovecho .  
benevolence.  benevolencia .  
benevolent.  benevolente; ben volo .  
benighted.  rodeadodetinieblas; ignorante .  
benign.  benigno; bondadoso .  
bent.  curvo; doblado; torcido; decidido; empe ado; sospechoso; pervertido; corrupto; inclinaci n; pasadoyparticipiopasadodebend .  
bent .  
on.  empe ado .  
benumb.  entumecer; paralizar .  
benzine.  bencina .  
bequeath.  legar; dejar .  
bequest.  legado .  
berate.  re ir; censurar .  
bereave.  privar; desposeerde .  
bereaved.  desconsolado; afligido .  
bereavement.  p rdidadeunserquerido .  
bereft.  desolado; desprovisto; privado; despojado; pasadodebereave .  
beret.  boina .  
berg.  colinaomonta a .  
beribboned.  decoradoconcintas .  
berk.  gilipollas .  
berm.  arc n .  
bermuda.  bermudas .  
berry.  baya; grano .  
berserk.  enloquecido; togo .  
berserk.  perderlosestribos; volverseloco .  
berth.  cama; camarote; litera; puesto; lugar; amarradero; puntodeatraque; atracar; amarrar; togivesomebodyawide .  
berth.  huir; evitarelencuentro .  
beryl.  berilo .  
beryllium.  berilio .  
beseech.  pedir; suplicar; rogar .  
beseeching.  suplicante .  
beset.  perseguir; acosar; asaltar; obstruir; dificultar .  
besetting.  obsesivo; dominante .  
beside.  juntoa; cercade; alladode; comparadocon; tobebeside .  
oneself.  estarfuerades .  
besides.  excepto; apartede; adem s; porotraparte .  
besiege.  asediar; sitiar .  
besieger.  sitiador .  
besmear.  embarrar; embadurnar .  
besmirch.  manchar; ensuciar .  
besom.  escoba; mujer .  
besotted.  atontado .  
besought.  pasadoyparticipiopasadodebeseech .  
bespatter.  salpicar .  
bespeak.  indicar; encargar; reservar; apalabrar .  
bespectacled.  congafas .  
bespoke.  pasadode .  
bespeak.   .  
bespoken.  participiopasadodebespeak .  
besprinkle.  salpicar; rociar; espolvorear .  
best.  mejor; vencer; best .  
man.  padrino; testigo; togetthebest .  
of.  salirganando .  
bestial.  bestial .  
bestiality.  bestialidad .  
bestir.  menearse .  
bestow.  otorgar; conceder; ofrecer; dar; dispensar .  
bestowal.  otorgamiento; concesi n; donaci n; ofrecimiento .  
bestraddle.  montarahorcajadas .  
best-seller.   xitoeditorial .  
bet.  apuesta; puesta; predicci n; apostar .  
betake.  trasladarse; acudir .  
 .  
bethink.  acordarse; considerar .  
betide.  ocurrir; suceder; woebetidehim .  
who.  aydelque .  
betime.  pronto; temprano; atiempo .  
betoken.  indicar; presagiar; anunciar .  
betony.  bet nica; plantadelafamiliadelaslabiadascuyashojasyra cessonmedicinales; plantasilvestredelaisladecubaconlacualsefabricaunaguardientearom tico .  
betray.  traicionar; revelar; delatar .  
betrayal.  traici n; enga o; revelaci n .  
betroth.  prometerenmatrimonio .  
betrothal.  noviazgo .  
better.  mejor; mejorar; superar; tobeallthebetter .  
for.  habermejoradomuchoaconsecuenciadebetter .  
off.  enmejorposici n; mejordedinero .  
betting.  aficionadoaljuego; apuestas .  
between.  entre .  
betwixt.  between .  
bevel.  biselado; bisel; biselar .  
bevel-edge.  biselado .  
beverage.  bebida .  
bevy.  bandada; grupo .  
bewail.  lamentarse .  
beware.  tenercuidadocon; guardarse; precaverse .  
bewhiskered.  bigotudo .  
bewilder.  desconcertar; aturdir; dejarperplejo .  
bewildered.  desconcertado; perplejo .  
bewildering.  desconcertante .  
bewilderment.  perplejidad; desconcierto .  
bewitch.  hechizar; encantar .  
bewitching.  hechizante; encantador .  
beyond.  m sall ; adem sde; apartede .  
bezant.  besante; monedadeorooplataqueseutilizabaeneuropaenelsiglonovenoysiguientes .  
bezel.  biselar .  
bezoar.  bezoar; piedraoconcreci nqueseencuentraenelest magodelosrumiantesyseusabacomoant dotoomedicamento .  
biannual.  semestral .  
bias.  prejuicio; tendencia; inclinaci n; preferencia .  
biased.  parcial .  
bib.  acicalado; pechera; babero; beber .  
bibber.  bebedor .  
bibelot.  chucher a .  
bible.  biblia .  
biblical.  b blico .  
bibliography.  bibliograf a .  
bibulous.  bebedor; borrach n .  
bicarbonate.  bicarbonato .  
bicentenary.  bicentenario .  
biceps.  biceps .  
bicker.  discutir; re ir .  
bickering.  ri as; discusiones .  
bicycle.  bicicleta; biciclo; montarenbicicleta .  
 .  
bid.  oferta; tentativa; intento; anunciar; ordenar; pedir; pujar; dar; licitar; ofrecer; tobid .  
goodbye.  deciradi s .  
biddable.  obediente; sumiso .  
bidden.  participiopasadodebid .  
bidder.  postor .  
bidding.  orden; mandato; puja; ofertas .  
biddy.  viejabruja .  
bide.  abide; tobideone's .  
time.  esperarelmomentopropicio .  
bidet.  bid .  
biennial.  bienal; plantabienal .  
bier.  andas; f retro; t mulo .  
bifocals.  bifocales .  
big.  grande; gordo; importante; voluminoso; mayor; popular; big .  
shot.  pezgordo .  
bigamist.  b gamo .  
bigamous.  b gamo .  
bigamy.  bigamiabighead, .  
bigheaded.  cre do,engre do; orgulloso .  
big-hearted.  generoso .  
bight.  laza; lazo .  
bigmouth.  bocazasbigot, .  
bigoted.  fan tico; intolerante .  
bigotry.  fanatismo; intolerancia .  
big-time.  importante; poderoso .  
bigwig.  gordo; se or n; pezgordo .  
bike.  bici; moto; irenbici .  
biker.  motorista .  
bikeway.  carrilbici .  
bikini.  bikini .  
bilateral.  bilateral .  
bilberry.  ar ndano .  
bile.  bilis; hiel; boil .  
bilge.  sentina; aguasdesentina .  
bilingual.  biling e .  
bilingualism.  biling ismo .  
bilious.  bilioso .  
bilk.  defraudar .  
bill.  cuenta; factura; nota; extremo; pico; programa; hachadecombatec ncavaconunlargomangodemadera; ciertahachaqueseusaparapodar; proyectodeley; billete; facturar; anunciar; billand .  
coo.  besuquearse; acariciarse .  
billboard.  cartelera; vallapublicitaria .  
billet.  le o; acantonamiento; alojamiento; alojar .  
billet-doux.  cartaamorosa .  
billfold.  cartera; billetera .  
billiards.  billar .  
billing.  togettop/second .  
billing.  serelprimero/segundodelcartel .  
billion.  milmillones .  
billionaire.  multimillonario .  
billow.  ola; oleada; ondular; ondear; hincharse .  
billowy.  hinchado; ondeante .  
billy.  billy .  
goat.  machocabr o; billy .  
club.  porra .  
bimbo.  ni amona; mujerjoven,guapaypocointeligente .  
 .  
bimonthly.  bimensual; bimestral; bimensualmente .  
bin.  caja; dep sito; panera; cubodelabasura; papelera .  
binary.  binario .  
bind.  apuro; situaci ndif cil; lata; atar; unir; vendar; encuadernar; obligar; comprometer .  
binder.  carpeta; se alqueseentregaparaasegurarseelderechosobrelacompradeunapropiedad; ring .  
binder.  carpetadeanillas .  
binding.  encuadernaci n; ribete; gal n; atadura; obligaci n; obligatorio .  
bindweed.  enredadera .  
binge.  borrachera; comilona; excesogastron mico; juerga .  
bingo.  bingo .  
binnacle.  bit cora .  
binoculars.  gemelos; prism ticos .  
biochemist.  bioqu mico .  
biochemistry.  bioqu mica .  
biodegradable.  biodegradable .  
biographer.  bi grafo .  
biographical.  biogr fico .  
biography.  biograf a .  
biological.  biol gico .  
biologist.  bi logo .  
biology.  biolog a .  
biopsy.  biopsia .  
biorhythm.  biorritmo .  
biosphere.  biosfera .  
biotechnology.  biotecnolog a .  
bipartite.  bipartito; bilateral .  
biped.  b pedo .  
biplane.  biplano .  
birch.  abedul; palo; castigarconpalo .  
bird.  p jaro; t a; chica; tobebirdsofa .  
feather.  serlobosdelamismacamada .  
birdberry.  plantarastreradelsudestedeestadosunidosqueproduceunasbayasnegrasypicantes .  
birdbrain.  mentecato .  
birdcage.  jauladep jaros .  
birdie.  birdie .  
birdseed.  alpistebird's-eye .  
view.  vistapanor mica .  
birdshot.  perdigones .  
bird-watcher.  observadordep jaros .  
bird-watching.  ornitolog acomohobby .  
biro.  bol grafo .  
birth.  nacimiento; parto .  
birthday.  cumplea os .  
birthmark.  antojo; marcadenacimiento .  
birthplace.  lugardenacimiento .  
birthrate.   ndicedenatalidad .  
